Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SANDÍA,Producción,"815,7","680,0","647,9","604,6","584,9","730,0","651,4","673,4","757,4","712,1","717,4","664,6","622,5","733,0","816,2","719,6","730,9","790,9","723,2","852,0","782,4"
PERAL,Valor,"186.987,0","158.797,0","155.720,0","132.779,0","167.138,0","184.315,0","188.851,0","179.961,0","276.509,0","211.352,0","217.476,0","208.300,0","264.630,0","366.682,0","288.153,0","250.357,0","237.959,0","341.373,0","289.268,5","221.128,0","223.375,9"
MELOCOTONERO,Producción,"629,3","727,9","1.023,7","856,9","870,6","661,2","869,7","962,0","907,4","982,3","1.029,8","1.082,3","1.275,8","1.270,8","987,6","1.260,9","1.245,5","846,9","833,4","796,1","757,3"
NÍSPERO,Valor,"24.485,0","21.432,0","26.186,0","25.339,0","17.351,0","30.369,0","37.774,0","36.838,0","43.431,0","39.431,0","30.764,0","33.729,0","54.892,0","51.780,0","39.596,0","18.430,0","23.270,0","41.152,0","34.546,1","40.014,0","27.581,0"
LIMONERO, Producción,"629,7","555,4","743,5","789,2","654,3","605,5","713,2","902,9","878,0","872,6","915,0","1.024,1","993,7","1.129,6","810,3","944,8","877,1","506,7","687,9","558,2","717,9"
ALBARICOQUERO,Valor,"37.069,0","57.242,0","59.531,0","45.171,0","58.513,0","62.128,0","70.960,0","57.345,0","68.715,0","60.536,0","41.443,0","42.223,0","53.481,0","105.104,0","90.386,0","76.855,0","55.360,0","53.432,0","62.518,9","48.553,0","46.290,0"
PEPINO,Producción,"301,2","318,3","313,6","323,6","326,2","330,8","375,8","447,5","438,3","403,8","416,5","547,8","517,7","573,1","546,6","474,9","634,9","558,8","670,2","563,6","665,0"
CEREZO Y GUINDO,Valor,"69.208,0","61.336,0","63.593,0","71.850,0","78.323,0","96.134,0","113.292,0","92.087,0","104.316,0","120.833,0","153.190,0","153.389,0","134.118,0","172.080,0","195.238,0","140.784,0","136.995,0","142.440,0","137.384,8","120.767,0","123.711,9"
MANZANO,Producción,"656,5","516,8","1.095,4","890,5","774,0","816,0","899,4","983,7","736,0","988,4","813,8","917,4","694,8","888,1","690,9","774,2","650,4","721,2","661,7","602,0","646,3"
MELOCOTONERO,Valor,"278.368,0","283.616,0","271.697,0","282.687,0","337.491,0","352.087,0","339.807,0","378.935,0","523.053,0","429.084,0","399.470,0","546.554,0","627.326,0","798.583,0","617.234,0","583.660,0","557.996,0","418.345,0","442.040,1","336.769,0","374.959,0"
AZÚCAR,Producción,"994,4","948,9","1.033,5","1.234,3","1.116,4","1.110,6","1.228,4","1.259,5","1.326,9","1.260,1","1.243,1","1.082,9","1.319,8","949,1","1.082,5","1.112,3","887,8","746,4","636,5","636,4","559,8"
CIRUELO,Valor,"63.371,0","75.114,0","50.906,0","52.685,0","56.555,0","65.619,0","58.454,0","54.479,0","77.923,0","65.879,0","66.042,0","63.906,0","86.996,0","142.288,0","96.466,0","92.289,0","102.898,0","104.321,1","103.472,9","106.474,0","131.357,8"
Aceituna de mesa,Producción,"216,0","257,6","232,1","204,2","190,8","177,5","189,0","286,8","258,5","387,8","331,2","485,9","357,9","498,5","455,4","375,4","395,7","438,6","396,4","489,4","515,6"
HIGUERA,Valor,"26.354,0","38.661,0","33.582,0","27.599,0","48.078,0","47.587,0","87.756,0","104.724,0","86.438,0","93.202,0","51.331,0","37.837,0","37.206,0","44.526,0","50.242,0","44.571,0","27.367,0","34.160,0","34.191,3","28.875,0","38.741,2"
PERAL,Producción,"449,4","387,3","652,8","474,7","579,0","522,8","665,3","756,9","608,4","745,2","669,1","673,5","630,7","728,3","609,5","639,8","593,9","551,8","538,7","464,0","476,6"
CHIRIMOYO,Valor,"19.993,0","23.337,0","19.062,0","30.093,0","15.876,0","26.035,0","20.457,0","19.937,0","30.566,0","27.713,0","30.119,0","27.444,0","39.318,0","24.444,0","19.374,0","24.808,0","24.256,0","38.970,0","65.027,0","48.581,0","60.575,6"
ZANAHORIA,Producción,"252,2","267,5","312,6","293,6","287,7","304,6","301,5","356,7","333,2","400,6","425,4","383,3","436,8","448,3","445,4","478,4","489,2","426,1","414,5","420,0","424,0"
GRANADO,Valor,"3.730,0","4.808,0","5.105,0","5.609,0","5.571,0","6.890,0","7.506,0","7.808,0","9.643,0","16.190,0","13.261,0","17.201,0","19.831,0","17.572,0","17.724,0","14.792,0","18.981,0","21.277,0","20.377,1","13.295,0","21.318,8"
CALABACÍN,Producción,"205,1","195,1","204,1","199,5","222,9","232,3","253,4","280,9","285,5","302,8","297,0","262,5","301,7","303,5","303,5","299,0","334,0","316,7","347,0","362,8","366,5"
AGUACATE,Valor,..,"30.816,0","30.412,0","35.385,0","30.847,0","25.916,0","31.003,0","39.776,0","44.933,0","57.325,0","61.293,0","88.373,0","77.744,0","106.770,0","70.590,0","80.191,0","91.598,0","93.473,0","89.391,1","86.893,0","99.524,2"
FRESA Y FRESÓN,Producción,"208,5","183,1","220,2","263,4","282,2","287,5","231,2","275,7","312,0","379,5","344,8","315,1","278,7","264,2","334,9","320,9","330,5","269,1","281,2","266,8","275,4"
PLATANERA,Valor,"172.013,0","155.076,0","169.796,0","109.596,0","93.019,0","106.522,0","95.404,0","116.972,0","145.134,0","142.573,0","91.170,0","99.871,0","111.911,0","120.587,0","103.987,0","169.989,0","152.411,0","160.436,0","173.883,2","165.826,0","130.319,1"
CENTENO,Producción,"267,3","236,9","222,3","333,2","206,7","173,1","295,7","211,8","213,8","217,8","220,0","101,5","176,6","176,9","162,7","129,1","165,0","261,4","283,2","180,7","258,4"
KIWI,Valor,..,"1.341,0","9.641,0","6.410,0","7.794,0","6.250,0","5.577,0","6.844,0","5.284,0","8.068,0","13.111,0","8.324,0","18.517,0","9.921,0","8.541,0","8.987,0","14.628,0","9.326,0","13.949,1","17.191,0","18.455,9"
GUISANTES SECOS,Producción,"10,7","10,9","8,4","11,6","72,6","55,4","84,1","58,4","63,2","48,3","58,2","51,6","100,2","146,3","201,2","132,5","189,8","160,2","137,6","147,9","251,6"
ALMENDRO,Valor,"100.449,0","126.013,0","127.611,0","222.302,0","171.507,0","163.602,0","258.558,0","299.273,0","184.230,0","159.695,0","155.582,0","171.003,0","191.889,0","197.142,0","116.818,0","315.910,0","303.821,0","166.526,0","156.005,2","166.824,0","161.485,1"
COL,Producción,"424,5","410,6","402,1","371,2","358,8","396,1","354,2","367,4","340,2","325,7","308,7","288,6","269,9","235,8","242,4","282,0","259,2","240,0","252,0","233,9","237,6"
AVELLANO,Valor,"15.867,0","12.724,0","15.923,0","12.968,0","31.541,0","15.180,0","6.069,0","30.965,0","25.478,0","35.923,0","31.510,0","33.301,0","21.731,0","12.117,0","39.981,0","55.868,0","47.640,0","26.974,0","33.473,2","11.073,0","21.659,0"
CIRUELO,Producción,"126,2","151,4","145,5","157,1","148,5","124,2","147,0","158,5","146,5","160,3","168,0","149,7","210,9","230,3","145,6","251,8","178,7","201,4","198,9","232,8","232,8"
NOGAL,Valor,"11.641,0","15.490,0","13.974,0","14.362,0","13.448,0","13.744,0","14.906,0","14.255,0","13.126,0","16.988,0","21.876,0","20.456,0","28.209,0","17.253,0","15.597,0","16.588,0","21.082,0","20.930,0","26.319,5","28.498,0","27.232,0"
Uva para consumo en fresco,Producción,"422,0","425,9","380,8","349,4","284,9","363,1","326,1","262,9","296,2","333,0","314,1","314,3","312,7","317,3","287,2","304,2","331,2","255,9","270,8","243,9","228,9"
COL,Valor,"82.866,1","82.200,9","69.986,8","65.991,7","69.350,8","113.411,6","73.044,2","72.801,7","77.635,1","77.771,3","84.806,9","81.311,0","97.617,4","79.808,1","61.151,0","90.805,0","77.851,0","71.751,9","75.521,4","68.429,2","59.556,3"
ALMENDRO, Producción (toneladas),"250,2","257,8","281,9","280,0","238,1","158,9","242,3","388,9","220,4","280,7","225,2","254,6","279,4","214,4","86,6","217,9","312,7","187,7","180,1","271,0","222,0"
ESPÁRRAGOS,Valor,"135.727,0","130.806,0","132.633,0","121.190,0","89.663,0","127.391,0","118.022,0","99.313,0","86.177,0","99.811,0","99.182,0","115.914,0","109.675,0","104.585,0","89.665,0","80.021,0","90.627,0","56.131,0","76.743,6","73.215,0","78.781,0"
BERENJENA,Producción,"152,5","139,7","135,7","136,7","117,8","131,1","133,6","146,6","157,2","149,2","154,9","147,9","154,4","175,6","175,5","163,8","168,0","179,8","198,8","207,3","190,2"
LECHUGA,Valor,"223.124,0","205.008,0","177.294,0","179.541,0","209.754,0","229.567,0","321.124,0","296.827,0","273.500,0","300.206,0","281.171,0","299.446,0","395.639,0","456.011,0","334.882,0","507.045,0","388.429,0","399.513,0","435.724,2","321.491,0","379.118,0"
ALCACHOFA,Producción,"427,9","359,7","363,7","334,1","283,2","250,7","278,4","274,4","264,6","289,7","290,2","277,4","289,4","306,5","300,2","200,1","228,2","226,0","203,3","194,1","166,7"
ESCAROLA,Valor,"18.537,0","22.147,0","15.804,0","16.447,0","16.782,0","16.538,0","17.644,0","16.480,0","18.267,0","21.368,0","16.980,0","25.369,0","36.545,0","36.548,0","40.443,0","43.243,0","39.977,0","35.250,0","30.534,6","28.477,0","32.371,0"
COLIFLOR,Producción,"271,6","278,4","301,8","274,7","288,3","284,9","358,4","351,3","436,8","471,9","482,9","505,5","494,7","500,9","468,3","441,8","460,0","440,3","431,9","156,9","151,6"
ESPINACAS,Valor,"19.062,0","18.583,0","16.695,0","17.437,0","17.397,0","15.169,0","16.290,0","18.006,0","22.009,0","22.274,0","27.024,0","25.238,0","29.397,0","35.770,0","31.756,0","38.534,0","39.324,0","45.311,0","41.526,1","35.291,0","35.155,0"
TRITICALE,Producción,"106,0","151,8","124,1","47,2","50,7","25,9","84,0","61,6","49,6","30,8","95,0","88,7","96,6","94,7","100,9","52,1","114,3","133,8","136,2","138,5","145,0"
ACELGA,Valor,"21.050,0","24.197,0","20.385,0","16.218,0","13.311,0","11.986,0","13.156,0","14.405,0","14.325,0","15.556,0","20.967,0","25.299,0","26.912,0","35.883,0","27.145,0","22.980,0","29.895,0","34.675,0","30.140,6","27.077,0","24.960,0"
