Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2001,724,2,694,"H1","080711",8,1600,1600,817,0
2001,724,2,703,"H1","080711",8,349644,349644,104096,0
2001,724,2,705,"H1","080711",8,459952,459952,175121,0
2001,724,1,710,"H1","080711",8,2563,2563,6593,0
2001,724,2,752,"H1","080711",8,10334076,10334076,3652405,0
2001,724,2,757,"H1","080711",8,1372356,1372356,312148,0
2001,724,1,826,"H1","080711",8,9928,9928,2206,0
2001,724,2,826,"H1","080711",8,16546150,16546150,5536189,0
2001,724,1,858,"H1","080711",8,18000,18000,7142,0
2001,724,2,891,"H1","080711",8,18818,18818,6472,0
1990,724,1,0,"H0","080710",8,485180,485180,477169,0
1990,724,2,0,"H0","080710",8,278635360,278635360,189310816,0
1990,724,2,20,"H0","080710",8,354875,354875,308570,0
1990,724,2,40,"H0","080710",8,4785187,4785187,2885001,0
1990,724,2,58,"H0","080710",8,9234062,9234062,7036217,0
1990,724,1,76,"H0","080710",8,3375,3375,4942,0
1990,724,2,208,"H0","080710",8,4172308,4172308,2738696,0
1990,724,2,246,"H0","080710",8,2760312,2760312,1625944,0
1990,724,1,251,"H0","080710",8,155156,155156,131088,0
1990,724,2,251,"H0","080710",8,57905696,57905696,37216448,0
1990,724,2,278,"H0","080710",8,456937,456937,165806,0
1990,724,1,280,"H0","080710",8,402,402,717,0
1990,724,2,280,"H0","080710",8,61579112,61579112,36646760,0
1990,724,2,292,"H0","080710",8,71671,71671,72662,0
1990,724,2,300,"H0","080710",8,262875,262875,149351,0
1990,724,1,312,"H0","080710",8,144,144,1121,0
1990,724,2,372,"H0","080710",8,973687,973687,482739,0
1990,724,1,376,"H0","080710",8,192175,192175,279648,0
1990,724,1,381,"H0","080710",8,110593,110593,33405,0
1990,724,2,381,"H0","080710",8,10426507,10426507,6639547,0
1990,724,2,478,"H0","080710",8,789,789,1248,0
1990,724,1,528,"H0","080710",8,3375,3375,9895,0
1990,724,2,528,"H0","080710",8,30895844,30895844,24168500,0
1990,724,2,579,"H0","080710",8,3634187,3634187,2176560,0
1990,724,2,616,"H0","080710",8,69738,69738,30414,0
1990,724,1,620,"H0","080710",8,19832,19832,16002,0
1990,724,2,620,"H0","080710",8,3068625,3068625,1992797,0
1990,724,2,694,"H0","080710",8,476,476,735,0
1990,724,2,752,"H0","080710",8,5378875,5378875,4098343,0
1990,724,2,757,"H0","080710",8,6782687,6782687,5877376,0
